,map_id,station_x,community_id,lat,long,station_y,city,line,community_name,2019,2020,2021,2022,pct_19in22,pct_19in22viz
37,40400,Noyes (Purple Line),,42.058282,-87.683337,Noyes (Purple Line),Evanston,Purple,,276037,85834,107387,146364,53.0,148877.0
38,40420,Cicero (Pink Line),,41.85182,-87.745336,Cicero (Pink Line),Cicero,Pink,,368061,195413,202076,227228,62.0,238328.0
39,40430,Clinton (Blue Line),29,41.875539,-87.640984,Clinton (Blue Line),Chicago,Blue,NEAR WEST SIDE,980480,318872,279196,430592,44.0,85184.0
40,40440,California (Pink Line),32,41.854109,-87.694774,California (Pink Line),Chicago,Pink,SOUTH LAWNDALE,431296,197742,248014,290906,67.0,300763.0
41,40450,95th/Dan Ryan (Red Line),45,41.722377,-87.624342,95th/Dan Ryan (Red Line),Chicago,Red,ROSELAND,2818826,1425095,1170323,1330341,47.0,103823.0
42,40460,Merchandise Mart (Brown & Purple lines),37,41.888969,-87.633924,Merchandise Mart (Brown & Purple lines),Chicago,Multi,NEAR NORTH SIDE,2237817,580038,542819,881310,39.0,59319.0
43,40470,Racine (Blue Line),29,41.87592,-87.659458,Racine (Blue Line),Chicago,Blue,NEAR WEST SIDE,622690,196114,222941,323222,52.0,140608.0
44,40480,Cicero (Green Line),26,41.886519,-87.744698,Cicero (Green Line),Chicago,Green,AUSTIN,370320,193386,169987,181057,49.0,117649.0
45,40490,Grand (Blue Line),25,41.891189,-87.647578,Grand (Blue Line),Chicago,Blue,WEST TOWN,865718,272357,347597,479315,55.0,166375.0
46,40510,Garfield (Green Line),7,41.795172,-87.618327,Garfield (Green Line),Chicago,Green,WASHINGTON PARK,323197,146905,147816,180055,56.0,175616.0
47,40520,Foster (Purple Line),,42.05416,-87.68356,Foster (Purple Line),Evanston,Purple,,252742,79320,97843,133737,53.0,148877.0
48,40530,Diversey (Brown & Purple lines),57,41.932732,-87.653131,Diversey (Brown & Purple lines),Chicago,Multi,LAKE VIEW,1651007,525219,554048,799487,48.0,110592.0
49,40540,Wilson (Red & Purple lines),31,41.964273,-87.657588,Wilson (Red & Purple lines),Chicago,Multi,UPTOWN,2043387,857136,1053074,1379416,68.0,314432.0
50,40550,Irving Park (Blue Line),16,41.952925,-87.729229,Irving Park (Blue Line),Chicago,Blue,IRVING PARK,1283807,496125,503736,566895,44.0,85184.0
