map_id,station,city,line
41020,Logan Square (Blue Line),Chicago,Blue
40060,Belmont (Blue Line),Chicago,Blue
40550,Irving Park (Blue Line),Chicago,Blue
41240,Addison (Blue Line),Chicago,Blue
41330,Montrose (Blue Line),Chicago,Blue
41280,Jefferson Park (Blue Line),Chicago,Blue
40900,"Howard (Red, Purple & Yellow lines)",Chicago,Multi
41300,Loyola (Red Line),Chicago,Red
41140,King Drive (Green Line),Chicago,Green
40510,Garfield (Green Line),Chicago,Green
40130,51st (Green Line),Chicago,Green
40300,Indiana (Green Line),Chicago,Green
41080,47th (Green Line),Chicago,Green
41270,43rd (Green Line),Chicago,Green
41120,35th-Bronzeville-IIT (Green Line),Chicago,Green
